County Name,Section,Number,Population,FIPS,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,05-08,05-09,05-10,05-11,05-12,05-13,05-14,05-15,05-16,05-17,05-18,05-19,05-20,05-21,05-22,05-23,05-24,05-25,05-26,05-27,05-28,05-29,05-30,05-31,06-01,06-02,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21,06-22,06-23,06-24,06-25,06-26,06-27,06-28,06-29,06-30,07-01,07-02,07-03,07-04,07-05,07-06,07-07,07-08,07-09,07-10,07-11,07-12,07-13,07-14,07-15,07-16,07-17,07-18,07-19,07-20,07-21,07-22,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,08-02,08-03,08-04,08-05,08-06,08-07,08-08,08-09,08-10,08-11,08-12,08-13,08-14,08-15,08-16,08-17,08-18,08-19,08-20,08-21,08-22,08-23,08-24,08-25,08-26,08-27,08-28,08-29,08-30,08-31,09-01,09-02,09-03,09-04,09-05,09-06,09-07,09-08,09-09,09-10,09-11,09-12,09-13,09-14,09-15,09-16,09-17,09-18,09-19,09-20,09-21,09-22,09-23,09-24,09-25,09-26,09-27,09-28,09-29,09-30,10-01,10-02,10-03,10-04,10-05,10-06,10-07,10-08,10-09,10-10,10-11,10-12,10-13,10-14,10-15,10-16,10-17,10-18,10-19,10-20,10-21,10-22,10-23,10-24,10-25,10-26,10-27,10-28,10-29,10-30
Ector,C,21,184841,48135,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>15,>10,>15,>15,>15,>15,>15,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>21,>21,>21,>21,>21,>15,>15,>21,>21,>21,>28,>40,>28,>28,>28,>28,>28,>15,>10,>15,>10,>10,>10,>10,>5,>5,>5,>5,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>10,>5,>5,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>0,>5,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>5,>5,>10,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>15,>21,>15,>15,>21
Edwards,B,22,1991,48137,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,none,none,none,none,none,none,none,none,none,>10,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>10,>10,>10,>21,>28,>5,>5,>28,>28,>28,>21,>5,>28,>28,>10,>10,>10,>10,>10,>5,>28,>28,>28,>28,>28,>28,>28,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>40,>40,>40,>40,>40,>40,>40,none,none,none,none,none,none,none,>5,>5,>5,>5,none,none,none,negative,negative,none,none,negative,negative,negative,negative,negative,none,none,>21,>28,>28,>28,>40,>28,>28,>21
El Paso,A,1,876120,48141,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>21,>21,>21,>21,>21,>21,>21,>28,>28,>28,>28,>40,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>28,>28,>28,>28,>28,>28,>28,>28,>21,>21,>21,>15,>15,>15,>15,>10,>10,>10,>10,>15,>10,>10,>10,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>10,>10,>10,>5,>10,>10,>10,>10,>15,>15,>15,>15,>15,>15,>21,>15,>21,>21,>21,>21,>21,>28,>28,>28,>28,>28,>28,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40
Ellis,H,33,177721,48139,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>0,>0,>0,>5,>0,>0,>0,>5,>15,>15,>10,>15,>15,>15,>21,>10,>15,>21,>21,>21,>21,>28,>28,>40,>40,>28,>28,>28,>40,>28,>28,>28,>28,>28,>28,>28,>21,>21,>15,>21,>21,>21,>15,>15,>15,>15,>15,>15,>15,>15,>21,>21,>28,>28,>28,>28,>40,>40,>40,>28,>28,>28,>28,>21,>15,>15,>15,>15,>15,>15,>10,>15,>15,>15,>21,>21,>21,>15,>10,>10,>5,>10,>10,>10,>5,>5,>10,>10,>5,>5,>5,>15,>10,>15,>15,>15,>15,>15,>10,>10,>10,>15,>15,>15,>15,>10,>10,>10,>5,>5,>5,>5,>0,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>15,>10,>10,>15
Erath,G,25,41526,48143,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>10,>5,>10,>21,>21,>21,>21,>21,>28,>28,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>21,>15,>21,>21,>21,>21,>21,>28,>28,>40,>28,>28,>28,>28,>28,>15,>15,>21,>21,>21,>21,>21,>21,>21,>15,>15,>15,>15,>15,>10,>5,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>15,>15,>15,>15,>15,>15,>15,>15,>5,>10,>10,>10,>10,>10,>10,>21,>15,>15,>15,>15,>15,>15,>15,>15,>15,>10,>10,>10,>10,>15,>15,>15,>15,>15,>15,>15,>0,>5,>5,>10,>5,>5,>5,>15,>10,>10,>10,>15,>15,>15,>10,>15,>15,>15,>10,>10,>10,>15,>15,>15,>15
Falls,L,23,16603,48145,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>0,>5,>5,>5,>5,>0,>5,>5,>5,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>10,>10,>15,>15,>15,>15,>15,>10,>10,>10,>5,>10,>10,>15,>15,>28,>21,>28,>28,>28,>21,>21,>10,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>15,>15,>21,>15,>15,>15,>15,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>5,>10,>10,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>15,>21,>21,>28,>28,>28,>28,>28,>21,>40,>40,>40,>40,>40,>40,>40,>21,>21,>21,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>21,>15,>15,>21,>21,>21,>21,>28,>28,>28,>21
Fannin,H,3,34597,48147,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>0,>5,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>5,>10,>5,>10,>10,>10,>10,>10,>10,>10,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>15,>10,>28,>10,>28,>28,>28,>28,>28,>21,>40,>21,>21,>21,>40,>40,>40,>40,>40,>40,>40,>10,>15,>10,>10,>10,>10,>10,>5,>5,>5,>10,>10,>10,>10,>15,>10,>15,>5,>5,>5,>5,>0,>0,>0,>5,>5,>5,>5,>10,>10,>5,>5,>5,>5,>5,>0,>0,>5,>5,>0,>0,>0,>5,>5,>5,>5,>10,>10,>10,>10,>10,>10,>15,>10,>10,>10,>15,>15,>10,>5
Fayette,M,22,26086,48149,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>0,>0,>0,>0,negative,negative,negative,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,negative,negative,negative,none,negative,negative,none,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>0,>0,>5,>5,>10,>10,>10,>10,>10,>5,>10,>10,>5,>5,>10,>10,>15,>10,>5,>5,>21,>21,>21,>21,>28,>28,>28,>21,>28,>28,>28,>28,>28,>21,>40,>28,>28,>40,>28,>28,>28,>21,>10,>10,>10,>10,>10,>5,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>15,>15,>15,>15,>15,>10,>10,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>0,>0,>0,>0,>5,>5,>5,>5,>21,>28,>28,>28,>28,>28,>28,>21,>15,>15,>10,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>0,>5,>0,>5,>5,>5,>5,>5,>0,>5
Fisher,C,5,3985,48151,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>5,>5,>5,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>21,>28,>15,>21,>21,>21,>21,>10,>0,>10,>5,>5,>10,>15,>15,>15,>28,>28,>28,>28,>21,>21,>21,>0,>0,>0,>0,none,none,>0,>0,>0,>0,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>21,>40,>40,>40,>40,>40,>40,>40,>28,>21,>15,>28,>28,>28,>28,>21,>28,>28,>5,>5,>5,>0,>5,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>0,none,>0,>0,>5,>5,>5,>10,>10,>10,>28,>21,>21,>21,>15,>40,>40,>28,>28,>28,>28,>40,>21,>28,>40,>40,>40,>40,>40,>40,>28,>40
Floyd,D,14,5786,48153,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,>0,>5,>10,>10,>10,>10,>10,>15,>15,>10,>10,>10,>10,>10,>0,>0,none,none,none,none,none,none,>0,>0,>0,>0,>5,>10,>10,>10,>5,>5,>5,>5,>15,>21,>28,>28,>28,>28,>28,>40,>40,>28,>28,>28,>28,>28,>15,>28,>28,>21,>21,>21,>21,>21,>0,>0,>5,>5,>5,>5,>21,>28,>40,>40,>40,>40,>40,>28,>21,>10,>10,>10,>10,>10,>10,>5,>5,>5,>10,>10,>10,>5,>10,>10,>10,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,negative,negative,negative,none,none,>0,>0,>0,>0,>0,>0,>0,>5,>10,>10,>10,>10,>10,>10,>0,>0,>10,>10,>10,>10,>10,>10,>5,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>5,>10,>15,>10,>10,>10,>40,>40,>40,>0
Foard,F,2,1240,48155,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,none,none,none,none,>10,none,none,>10,>10,>10,>10,none,>10,>10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>21,>21,>21,>40,>40,>40,>40,>40,>40,>40,>10,>10,>10,none,none,none,none,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>10,>10,>10,>10,>10,>10,>21,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>21,>21,>10
Fort Bend,K,21,840383,48157,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>10,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>15,>15,>10,>5,>5,>10,>10,>10,>10,>10,>10,>10,>10,>15,>28,>28,>28,>28,>28,>40,>40,>28,>28,>28,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>21,>15,>15,>15,>15,>15,>5,>5,>0,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>0,>0,>0,>0,>0,>5,>5,>5,>0,>0,>5,>5,>0,>0
Franklin,I,13,10924,48159,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>0,>5,>5,>5,>5,>5,>5,>5,>0,>5,>5,>5,>5,>10,>10,>10,>5,>5,>5,>5,>5,>5,>5,>10,>5,>5,>10,>10,>10,>10,>5,>5,>10,>10,>10,>10,>10,>15,>15,>5,>5,>5,>5,>10,>10,>10,>15,>15,>10,>10,>10,>5,>10,>5,>10,>15,>10,>10,>10,>10,>15,>5,>5,>5,>5,>10,>10,>5,>5,>10,>10,>10,>5,>0,>0,>0,>0,>0,>5,>5,>5,>10,>10,>5,>5,>0,>0,>10,>5,>10,>10,>10,>10,>10,>10,>10,>10,>10,>5,>5,>5,>0,>0,>0,>5,>5,>5,>5,>10,>10,>10,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>15,>21,>21,>28,>28,>28,>28,>15,>15,>15,>5,>5,>5,>5,>5,>15,>21,>40,>40,>40,>40,>40,>40,>40,>21,>5
Freestone,J,1,19860,48161,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,>0,none,none,none,none,none,none,negative,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>5,>21,>21,>21,>28,>28,>21,>21,>15,>15,>15,>10,>15,>15,>15,>15,>15,>15,>21,>21,>21,>15,>21,>10,>10,>5,>5,>5,>0,>0,>5,>15,>10,>10,>10,>15,>15,>15,>5,>15,>15,>15,>15,>15,>15,>15,>15,>15,>40,>40,>40,>40,>40,>40,>40,>5,>5,>5,>5,>5,>0,>0,>0,>0,>0,none,none,>5,>5,>0,>5,>5,>5,>10,>5,>5,>5,>5,>5,>0,>0,>0,>0,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>15,>15,>5,>10,>5,>5
Frio,N,13,20023,48163,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>10,>10,>15,>15,>15,>15,>15,>5,>5,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,>0,>0,>5,>5,>5,>10,>10,>10,>15,>21,>21,>15,>15,>21,>40,>40,>40,>40,>40,>40,>40,>28,>28,>21,>21,>28,>40,>40,>28,>28,>28,>28,>28,>10,>40,>40,>40,>40,>40,>40,>40,>28,>28,>5,>28,>28,>28,>28,>40,>40,>40,>28,>28,>28,>40,>28,>21,>28,>28,>28,>28,>28,>21,>28,>21,>21,>21,>21,>10,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>28,>28,>21,>10,>10,>15,>10,>10,>10,>10,>10,>10,>10,>5,>5,>5,>0,>0,>0,>0,>10,>10,>10,>15,>15,>15,>15,>0,>0,>40,>40,>40,>40,>40,>40,>40,>10,>0,>0,>5,>5,>5,>5,>0,>10,>10,>5,>5,>5,>5,>5,>0,>0,>0,>10,>10,>10,>5,>5,>0,>0,negative,negative,negative,>0,>0,>5,>5,>5
Gaines,C,1,22121,48165,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>15,>15,>15,>15,>15,>21,>21,>21,>21,>28,>28,>28,>21,>21,>21,>21,>15,>15,>15,>21,>21,>21,>21,>21,>21,>21,>15,>10,>15,>21,>15,>15,>15,>21,>15,>15,>10,>10,>10,>10,>5,>10,>10,>10,>10,>10,>10,>10,>5,>0,>5,>5,>5,>5,>10,>15,>21,>15,>21,>21,>21,>15,>15,>15,>15,>15,>15,>15,>15,>5,>10,>15,>15,>21,>21,>28,>28,>28,>21,>21,>21,>21,>15,>15,>21,>21,>21,>28,>28,>40,>28,>28,>28,>28,>28,>28,>15,>21,>21,>40
Galveston,K,23,355196,48167,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>15,>15,>15,>21,>21,>21,>21,>28,>28,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>28,>21,>21,>21,>21,>21,>15,>15,>21,>21,>21,>21,>21,>15,>21,>15,>15,>15,>15,>15,>10,>10,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>5,>15,>15,>15,>15,>15,>15,>15,>10,>10,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>5,>10,>10,>10,>10,>10,>10,>10
Garza,D,34,6784,48169,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>5,>5,>5,>5,>5,>0,>0,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,>0,none,>0,>0,>0,>0,>0,none,none,>5,>5,>10,>10,>10,>10,>10,>0,>0,none,none,none,>0,>10,>10,>15,>15,>15,>15,>15,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>40,>21,>21,>10,>10,>5,>5,>5,>5,>5,>5,>5,>0,>0,>0,>0,none,>0,>0,>0,>0,>0,>0,>0,>0,none,>0,>0,>0,>0,none,>0,>0,none,none,none,none,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,>0,>0,>0,>5,>5,>10,>10,>10,>10,>10,>10,>15,>10,>10,>15,>15,>15,>15,>10,>10,>10,>10,>10,>5,none
Gillespie,B,18,26191,48171,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>10,>10,>5,>5,>5,>5,>10,>5,>0,>0,>5,>5,>5,>0,>5,>5,>10,>10,>10,>10,>5,>5,>5,>5,>28,>28,>28,>28,>28,>28,>28,>15,>15,>15,>21,>15,>15,>10,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>5,>5,>5,>5,>5,>5,>5,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>40,>40,>40,>40,>40,>40,>40,>5,>0,>0,>5,>5,>0,>0,>5,>10,>10,>5,>5,>5,>5,>0,negative,>0,>0,>5,>5,>5,>5,>5,>5,>5,>0,>5,>5,>5,>5,>5,>5,>5
Glasscock,C,23,1365,48173,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>15,>15,>40,>40,>28,>28,>28,>15,>15,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>10,>10,none,none,none,none,none,none,none,none,none,>10,>10,>10,>10,>15,>15,>15,>10,>10,>10,>10,>10,>10,>15,>15,>15,>15,>15,>10,>10,none
